"Survived","Pclass","Sex","Fare","AgeGroup","Embarked","FamilySize","Title"
0,2,"male",11.5,1,"S",1,"Mr"
1,3,"male",15.9,2,"S",3,"Master"
1,3,"male",15.9,2,"S",3,"Master"
1,3,"female",15.9,7,"S",3,"Miss"
0,3,"male",7.25,5,"S",1,"Mr"
0,1,"male",26.55,6,"S",1,"Mr"
0,3,"male",8.1583,1,"S",1,"Mr"
1,3,"female",16.1,1,"S",2,"Miss"
0,3,"male",16.1,6,"S",2,"Mr"
0,1,"male",71,5,"S",3,"Nobelty"
1,1,"female",71,7,"S",3,"Miss"
1,1,"female",26.55,5,"S",3,"Miss"
0,3,"male",8.6625,1,"S",1,"Mr"
0,1,"male",71.2833,6,"C",2,"Mr"
1,1,"female",71.2833,7,"C",2,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,3,"male",7.225,1,"C",1,"Mr"
1,3,"male",8.05,6,"S",1,"Mr"
0,3,"female",10.5167,1,"S",1,"Miss"
0,3,"male",10.1708,1,"S",1,"Mr"
1,3,"female",6.95,3,"Q",1,"Miss"
1,3,"male",7.75,3,"Q",1,"Mr"
1,1,"male",26.55,4,"S",1,"Mr"
0,3,"male",14.4,2,"S",3,"Master"
0,3,"male",14.4,7,"S",3,"Mr"
0,3,"female",14.4,3,"S",3,"Miss"
1,1,"male",30.5,3,"S",1,"Mr"
1,1,"female",151.55,7,"S",1,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,1,"male",52,7,"S",2,"Mr"
1,1,"female",52,3,"S",4,"Miss"
1,2,"male",36.75,2,"S",3,"Master"
0,3,"male",24.15,3,"S",3,"Mr"
0,2,"male",73.5,1,"S",1,"Mr"
0,3,"male",8.05,1,"S",1,"Mr"
0,3,"male",24.15,1,"S",3,"Mr"
0,3,"male",8.05,1,"S",3,"Mr"
1,2,"female",36.75,4,"S",3,"Miss"
1,2,"female",13,3,"S",1,"Miss"
0,3,"male",16.1,3,"S",2,"Mr"
1,3,"female",16.1,1,"S",2,"Miss"
0,2,"male",13,7,"S",1,"Mr"
1,3,"male",17.4,7,"S",2,"Mr"
1,3,"female",17.4,7,"S",2,"Miss"
1,3,"male",9.5,3,"S",1,"Mr"
0,3,"male",9.5,1,"S",1,"Mr"
0,2,"male",73.5,1,"S",1,"Mr"
1,3,"male",20.575,2,"S",4,"Master"
1,3,"female",20.575,2,"S",4,"Miss"
0,3,"male",20.575,3,"S",4,"Mr"
1,3,"female",20.575,7,"S",4,"Miss"
0,2,"male",27.7208,3,"C",2,"Mr"
1,2,"female",27.7208,3,"C",2,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",31.5,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.25,1,"S",1,"Mr"
0,3,"male",7.25,7,"S",1,"Mr"
1,3,"female",7.8792,1,"Q",1,"Miss"
0,2,"male",73.5,1,"S",1,"Mr"
1,1,"male",57,7,"S",2,"Mr"
1,1,"female",57,1,"S",2,"Miss"
0,3,"male",7.8958,1,"S",1,"Mr"
0,3,"male",8.6625,6,"S",1,"Mr"
0,3,"male",7.8958,6,"S",1,"Mr"
1,1,"male",81.8583,4,"S",3,"Nobelty"
1,1,"male",81.8583,2,"S",3,"Master"
1,1,"female",81.8583,4,"S",3,"Miss"
0,3,"male",7.2292,3,"C",1,"Mr"
1,2,"female",23,1,"S",2,"Miss"
1,2,"female",23,7,"S",2,"Miss"
0,3,"male",7.75,7,"Q",1,"Mr"
1,3,"male",8.05,1,"S",1,"Mr"
0,1,"male",106.425,4,"C",2,"Mr"
1,1,"female",247.5208,3,"C",3,"Miss"
1,1,"female",106.425,4,"C",2,"Miss"
1,3,"female",12.475,3,"S",1,"Miss"
0,2,"male",26,4,"S",1,"Mr"
0,3,"female",7.75,3,"Q",1,"Miss"
1,3,"female",8.05,1,"S",1,"Miss"
0,3,"male",7.8958,7,"C",1,"Mr"
1,2,"male",32.5,2,"S",3,"Master"
0,2,"male",32.5,6,"S",3,"Mr"
1,2,"female",32.5,7,"S",3,"Miss"
0,3,"male",7.75,5,"Q",1,"Mr"
1,1,"female",39.6,4,"C",2,"Nobelty"
1,1,"male",56.9292,4,"C",2,"Nobelty"
0,1,"male",29.7,6,"C",1,"Mr"
1,3,"male",7.55,3,"S",1,"Mr"
1,2,"female",13.8583,3,"C",2,"Miss"
1,2,"female",13.8583,3,"C",2,"Miss"
0,3,"male",13.9,1,"S",2,"Mr"
1,3,"female",13.9,1,"S",2,"Miss"
1,1,"female",83.1583,1,"C",2,"Miss"
0,3,"male",7.775,1,"S",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
0,3,"male",7.775,1,"S",1,"Mr"
0,3,"male",6.975,6,"S",1,"Mr"
0,3,"male",7.225,3,"C",1,"Mr"
0,3,"male",7.2292,6,"C",3,"Mr"
0,3,"male",7.2292,1,"C",3,"Mr"
0,3,"male",7.2292,1,"C",3,"Mr"
0,3,"male",7.25,6,"S",1,"Mr"
1,3,"female",12.475,2,"S",1,"Miss"
0,3,"male",7.225,3,"C",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
1,1,"female",227.525,7,"C",1,"Miss"
1,1,"female",78.2667,4,"C",2,"Miss"
0,1,"female",31.6792,7,"C",1,"Miss"
0,3,"male",15.1,6,"S",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
0,3,"male",7.75,6,"Q",1,"Mr"
0,1,"male",221.7792,6,"S",1,"Mr"
0,2,"male",26,6,"S",2,"Mr"
1,2,"female",26,3,"S",2,"Miss"
0,2,"male",10.5,1,"S",1,"Mr"
1,3,"male",7.05,3,"S",1,"Mr"
0,3,"male",7.7958,1,"S",1,"Mr"
1,1,"female",31.6833,7,"S",1,"Miss"
0,3,"female",7.75,1,"Q",1,"Miss"
1,1,"female",110.8833,7,"C",1,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
0,3,"male",6.95,3,"Q",1,"Mr"
1,1,"male",26.3875,7,"S",1,"Mr"
0,3,"male",7.8792,3,"Q",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
1,3,"male",56.4958,3,"S",1,"Mr"
0,3,"female",34.375,1,"S",5,"Miss"
0,3,"female",34.375,2,"S",5,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
0,3,"male",34.375,1,"S",5,"Mr"
0,3,"male",34.375,1,"S",5,"Mr"
0,3,"female",34.375,4,"S",5,"Miss"
0,1,"male",27.75,3,"C",1,"Mr"
1,1,"female",263,3,"S",6,"Miss"
1,1,"female",263,3,"S",6,"Miss"
1,1,"female",263,1,"S",6,"Miss"
0,1,"male",263,1,"S",6,"Mr"
0,1,"male",263,5,"S",6,"Mr"
1,1,"female",263,5,"S",6,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
0,2,"male",13,7,"S",1,"Mr"
1,1,"female",56.9292,3,"C",1,"Miss"
0,3,"male",7.25,3,"S",1,"Mr"
0,1,"male",26.55,6,"S",1,"Mr"
1,1,"male",133.65,4,"S",3,"Nobelty"
1,1,"male",27.7208,6,"C",2,"Mr"
1,1,"female",133.65,7,"S",2,"Miss"
1,1,"female",49.5,1,"C",3,"Miss"
1,1,"male",79.2,5,"C",3,"Mr"
1,1,"female",79.2,4,"C",3,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,1,"male",0,6,"S",1,"Mr"
0,2,"female",13,7,"S",1,"Miss"
0,1,"male",53.1,7,"S",2,"Mr"
1,1,"female",53.1,7,"S",2,"Miss"
0,2,"male",26,7,"S",1,"Mr"
0,2,"male",21,7,"S",2,"Mr"
0,2,"male",21,7,"S",2,"Mr"
0,3,"male",7.7417,3,"Q",1,"Mr"
0,3,"male",14.5,3,"S",1,"Mr"
1,2,"female",13,7,"S",1,"Miss"
0,2,"male",26,1,"S",1,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
0,1,"male",38.5,6,"S",1,"Mr"
1,1,"female",211.5,7,"C",1,"Miss"
0,3,"male",7.8958,3,"C",1,"Mr"
1,1,"female",59.4,1,"C",2,"Miss"
1,1,"female",59.4,6,"C",2,"Miss"
0,1,"male",79.2,3,"C",1,"Mr"
0,2,"male",10.5,6,"S",1,"Mr"
0,2,"male",11.5,1,"S",2,"Mr"
0,2,"male",11.5,1,"S",2,"Mr"
0,2,"male",13.5,3,"S",1,"Mr"
0,3,"male",8.05,1,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
0,2,"male",13,7,"S",1,"Mr"
1,3,"female",7.7333,1,"Q",1,"Miss"
0,2,"male",13,3,"S",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
1,1,"male",89.1042,4,"C",2,"Mr"
1,1,"female",89.1042,7,"C",2,"Miss"
0,1,"male",34.6542,5,"C",1,"Mr"
1,3,"male",20.525,2,"S",3,"Master"
0,3,"male",20.525,7,"S",3,"Mr"
0,3,"male",7.85,6,"S",1,"Mr"
1,3,"female",20.525,7,"S",3,"Miss"
0,3,"male",7.05,7,"S",1,"Mr"
0,3,"male",46.9,2,"S",8,"Master"
0,3,"male",46.9,2,"S",8,"Master"
0,3,"male",46.9,2,"S",8,"Master"
0,3,"female",46.9,2,"S",8,"Miss"
0,3,"female",46.9,1,"S",8,"Miss"
0,3,"male",46.9,1,"S",8,"Mr"
0,3,"male",46.9,6,"S",8,"Mr"
0,3,"female",46.9,6,"S",8,"Miss"
1,1,"male",28.5,4,"C",1,"Nobelty"
1,1,"female",30,1,"S",1,"Miss"
0,1,"male",153.4625,7,"S",2,"Mr"
1,1,"female",153.4625,4,"S",2,"Miss"
0,3,"male",8.05,4,"S",1,"Mr"
0,2,"male",13,4,"S",1,"Mr"
1,1,"male",63.3583,1,"C",2,"Mr"
1,1,"female",63.3583,6,"C",2,"Miss"
0,3,"male",8.3625,7,"S",1,"Mr"
0,3,"male",8.05,3,"S",1,"Mr"
0,1,"male",79.2,6,"C",1,"Mr"
0,3,"male",9.8458,1,"S",1,"Mr"
0,3,"male",7.925,7,"S",3,"Mr"
0,3,"male",7.925,3,"S",3,"Mr"
0,3,"male",7.775,1,"S",1,"Mr"
0,3,"female",8.85,3,"S",1,"Miss"
0,3,"female",7.7333,1,"Q",1,"Miss"
0,3,"male",19.9667,3,"S",2,"Mr"
0,3,"male",19.9667,3,"S",2,"Mr"
0,3,"male",15.85,3,"S",2,"Mr"
1,3,"female",15.85,3,"S",2,"Miss"
0,2,"male",13,3,"S",1,"Mr"
1,2,"male",14.5,2,"S",3,"Master"
1,2,"female",14.5,3,"S",3,"Miss"
0,3,"male",9.5,1,"S",1,"Mr"
0,3,"male",7.2292,1,"C",1,"Mr"
0,3,"male",14.1083,6,"S",3,"Mr"
0,3,"male",7.8542,3,"S",2,"Mr"
0,3,"male",7.8542,1,"S",1,"Mr"
1,3,"female",14.1083,6,"S",2,"Miss"
0,2,"male",13,6,"S",1,"Mr"
1,1,"male",55.4417,3,"C",2,"Mr"
1,1,"female",55.4417,3,"C",2,"Miss"
0,3,"female",7.55,1,"S",1,"Miss"
0,3,"male",7.25,3,"S",1,"Mr"
1,2,"female",33,2,"S",2,"Miss"
1,1,"male",76.7292,4,"C",2,"Mr"
1,1,"female",76.7292,4,"C",2,"Miss"
0,2,"male",33,3,"S",2,"Nobelty"
0,1,"male",42.4,6,"S",1,"Mr"
1,2,"male",10.5,5,"S",1,"Mr"
0,1,"male",83.475,6,"S",2,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
1,1,"female",83.475,7,"S",2,"Miss"
0,1,"male",0,6,"S",1,"Mr"
1,2,"female",26.25,2,"S",3,"Miss"
0,2,"male",26.25,6,"S",3,"Mr"
0,3,"male",6.8583,3,"Q",1,"Mr"
1,2,"female",26.25,6,"S",3,"Miss"
1,1,"male",76.7292,3,"C",1,"Mr"
0,3,"male",18.7875,2,"C",1,"Mr"
1,1,"male",30,6,"S",1,"Mr"
1,1,"female",83.1583,3,"C",1,"Miss"
0,1,"male",93.5,4,"S",3,"Mr"
1,1,"female",93.5,4,"S",3,"Miss"
0,1,"male",42.5,6,"S",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
1,3,"male",6.975,3,"S",1,"Mr"
1,3,"male",56.4958,3,"S",1,"Mr"
0,3,"female",6.75,1,"Q",1,"Miss"
1,3,"female",7.925,3,"S",1,"Miss"
0,3,"female",7.925,1,"S",1,"Miss"
1,3,"female",8.9625,1,"S",1,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"female",7.775,3,"S",1,"Miss"
0,3,"female",7.75,1,"Q",1,"Miss"
1,2,"female",65,3,"S",4,"Miss"
1,2,"female",65,3,"S",4,"Miss"
0,2,"male",65,4,"S",4,"Mr"
1,2,"female",65,4,"S",4,"Miss"
1,2,"female",16,4,"S",1,"Miss"
0,2,"male",73.5,3,"S",3,"Mr"
0,2,"male",73.5,7,"S",3,"Mr"
0,2,"male",73.5,1,"S",3,"Mr"
0,1,"male",51.8625,6,"S",1,"Mr"
0,2,"female",13,1,"S",3,"Miss"
0,1,"male",50,4,"S",1,"Mr"
1,1,"female",57.9792,1,"C",2,"Miss"
1,1,"female",57.9792,6,"C",2,"Miss"
1,3,"female",12.2875,2,"S",2,"Miss"
1,3,"female",12.2875,1,"S",3,"Miss"
1,2,"female",23,1,"S",4,"Miss"
0,2,"male",11.5,1,"S",4,"Mr"
0,2,"male",13,7,"S",1,"Mr"
1,2,"female",23,4,"S",5,"Miss"
0,2,"male",13,4,"S",1,"Mr"
1,1,"female",77.9583,4,"S",2,"Miss"
0,2,"male",26,6,"S",2,"Mr"
1,2,"female",26,3,"S",2,"Miss"
0,3,"male",6.45,6,"S",1,"Mr"
0,3,"male",22.525,3,"S",1,"Mr"
0,1,"male",52,6,"S",2,"Mr"
1,1,"female",52,7,"S",2,"Miss"
1,1,"male",26.55,7,"C",1,"Mr"
1,3,"female",7.925,3,"S",1,"Miss"
0,2,"male",73.5,1,"S",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
1,2,"male",13,6,"S",1,"Mr"
1,3,"female",8.05,1,"S",1,"Miss"
0,2,"male",26,5,"S",2,"Mr"
0,2,"female",26,5,"S",2,"Miss"
1,1,"male",90,7,"S",2,"Mr"
0,1,"male",30.6958,6,"C",1,"Mr"
1,1,"female",90,7,"S",2,"Miss"
0,3,"male",7.65,6,"S",1,"Mr"
0,2,"male",12.275,7,"S",1,"Mr"
1,3,"male",7.8875,3,"S",1,"Mr"
0,3,"male",7.2292,3,"C",1,"Mr"
1,1,"female",80,7,"C",1,"Miss"
1,2,"female",10.5,1,"S",1,"Miss"
